CIRCUIT,DISTRICT,OFFICE,DOCKET,ORIGIN,FILEDATE,FDATEUSE,JURIS,NOS,TITL,SECTION,SUBSECT,RESIDENC,JURY,CLASSACT,DEMANDED,FILEJUDG,FILEMAG,COUNTY,ARBIT,MDLDOCK,PLT,DEF,TRANSDAT,TRANSOFF,TRANSDOC,TRANSORG,TERMDATE,TDATEUSE,TRCLACT,TERMJUDG,TERMMAG,PROCPROG,DISP,NOJ,AMTREC,JUDGMENT,DJOINED,PRETRIAL,TRIBEGAN,TRIALEND,TRMARB,PROSE,IFP,STATUSCD,TAPEYEAR,yr_term,yr_file,new,CASENAME,MAGISINV,OTHERINV,fjc_ID,CDD_ID,cases_tot_yr,cases_tot_typ_yr,cases_pct_tot_yr,cases_tot_yr_term,NOS_t,DISP_t,DEF_typ_old,PLT_typ_old,PLT_typ,DEF_typ
9,72,2,1302557,5,2013-12-10,2013-12-01,federal question,893,NA,1319,CW,-8,N,-8,0,NA,NA,06067,-8,-8,CALIFORNIA RIVER WATCH,AMENT MARINE SERVICE,NA,-8,-8,-8,2014-01-03,2014-01-01,-8,NA,NA,1,12,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2014,2014,2013,1,NA,NA,NA,9-72-1302557-2013-12-10-1,9-72-1302557,301459,1457,0.483,260736,ENVIRONMENTAL MATTERS,Dismissed Voluntarily,BIZ,NGO,NGO,BIZ
9,73,5,1400071,1,2014-01-13,2014-01-01,federal question,893,NA,1365,-8,-8,N,-8,0,NA,NA,06065,-8,-8,"INLAND EMPIRE WATERKEEP, ET AL","BURRTEC WASTE GROUP INC, ET AL",NA,-8,-8,-8,2014-07-03,2014-07-01,-8,NA,NA,1,12,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2014,2014,2014,1,NA,NA,NA,9-73-1400071-2014-01-13-1,9-73-1400071,298109,574,0.193,260736,ENVIRONMENTAL MATTERS,Dismissed Voluntarily,BIZ,NGO,NGO,BIZ
9,73,5,1400230,1,2014-02-05,2014-02-01,federal question,893,NA,3371,-8,-8,N,-8,0,NA,NA,06065,-8,-8,CENTER FOR COMMUNITY ACTION AN,RUUHWA DANN & ASSOCIATES INC,NA,-8,-8,-8,2014-06-03,2014-06-01,-8,NA,NA,1,12,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2014,2014,2014,1,NA,NA,NA,9-73-1400230-2014-02-05-1,9-73-1400230,298109,574,0.193,260736,ENVIRONMENTAL MATTERS,Dismissed Voluntarily,BIZ,LOC,NGO,BIZ
9,76,1,1400156,1,2014-04-22,2014-04-01,US govt defendant,893,NA,4321,-8,-8,N,-8,0,NA,NA,16001,-8,-8,"IDAHO CONSERVATION LEAG, ET AL","U.S. FOREST SERVICE, ET AL",NA,-8,-8,-8,2014-07-03,2014-07-01,-8,NA,NA,1,12,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2014,2014,2014,1,NA,NA,NA,9-76-1400156-2014-04-22-1,9-76-1400156,298109,574,0.193,260736,ENVIRONMENTAL MATTERS,Dismissed Voluntarily,FED,BIZ,NGO,FED
9,76,2,1400100,1,2014-03-12,2014-03-01,US govt defendant,893,NA,1538,-8,-8,N,-8,0,NA,NA,16017,-8,-8,"IDAHO STATE SNOWMOBILE , ET AL","U.S. DEPARTMENT OF THE , ET AL",NA,-8,-8,-8,2014-07-15,2014-07-01,-8,NA,NA,2,12,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2014,2014,2014,1,NA,NA,NA,9-76-1400100-2014-03-12-1,9-76-1400100,298109,574,0.193,260736,ENVIRONMENTAL MATTERS,Dismissed Voluntarily,FED,BIZ,BIZ,FED
9,76,4,1000612,1,2010-12-13,2010-12-01,US govt defendant,893,NA,4321,-8,-8,N,-8,0,NA,NA,16037,-8,-8,"WESTERN WATERSHEDS PROJ, ET AL","U.S. FOREST SERVICE, ET AL",NA,-8,-8,-8,2013-11-07,2013-11-01,-8,NA,NA,5,13,0,0,0,03/21/2011,04/06/2011,NA,NA,-8,0,-8,L,2014,2013,2010,1,NA,NA,NA,9-76-1000612-2010-12-13-1,9-76-1000612,291134,950,0.326,259091,ENVIRONMENTAL MATTERS,Settled,FED,Unknown,NGO,FED
10,86,6,0600009,4,2013-10-01,2013-10-01,US govt plaintiff,893,NA,1319,CW,-8,N,-8,0,NA,NA,40111,-8,-8,"UNITED STATES OF AMERIC, ET AL","CITY OF OKMULGEE, OKLAH, ET AL",NA,-8,-8,-8,2013-10-01,2013-10-01,-8,NA,NA,10,14,0,0,0,10/01/2013,NA,NA,NA,-8,0,-8,L,2014,2013,2013,1,NA,NA,NA,10-86-0600009-2013-10-01-1,10-86-0600009,301459,1457,0.483,259091,ENVIRONMENTAL MATTERS,Dismissed (want of pros. or lack of juris.),LOC,FED,FED,LOC
11,26,2,1400850,1,2014-05-07,2014-05-01,US govt plaintiff,893,NA,0651,-8,-8,N,-8,8,NA,NA,01073,-8,-8,UNITED STATES OF AMERICA,C W WOODS CONTRACTING SERVICES,NA,-8,-8,-8,2014-09-17,2014-09-01,-8,NA,NA,1,14,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2014,2014,2014,1,NA,NA,NA,11-26-1400850-2014-05-07-1,11-26-1400850,298109,574,0.193,260736,ENVIRONMENTAL MATTERS,Dismissed (want of pros. or lack of juris.),BIZ,FED,FED,BIZ
0,90,1,1400360,5,2014-03-06,2014-03-01,federal question,893,NA,0668,-8,-8,N,-8,0,NA,NA,88888,-8,-8,"CENTER FOR FOOD SAFETY, ET AL","JEWELL, ET AL",NA,-8,-8,-8,2015-04-22,2015-04-01,-8,NA,NA,2,17,0,0,1,NA,NA,NA,NA,-8,0,-8,L,2015,2015,2014,1,NA,NA,NA,0-90-1400360-2014-03-06-1,0-90-1400360,298109,574,0.193,273205,ENVIRONMENTAL MATTERS,Judgement Issued,FED,NGO,NGO,FED
6,49,3,1400356,1,2014-07-30,2014-07-01,federal question,893,NA,1331,-8,-8,N,-8,0,NA,NA,47093,-8,-8,RYAN,TENNESSEE VALLEY AUTHORITY,NA,-8,-8,-8,2015-04-30,2015-04-01,-8,NA,NA,4,6,0,0,2,NA,NA,NA,NA,-8,1,-8,L,2015,2015,2014,1,NA,NA,NA,6-49-1400356-2014-07-30-1,6-49-1400356,298109,574,0.193,273205,ENVIRONMENTAL MATTERS,Judgement Issued,PUB_ORG,Unknown,FED,FED
7,58,3,1200602,1,2012-08-17,2012-08-01,federal question,893,NA,9607,-8,-8,N,-8,0,NA,NA,55025,-8,-8,"NORTHERN STATES POWER C, ET AL","THE CITY OF ASHLAND, WI, ET AL",NA,-8,-8,-8,2015-09-15,2015-09-01,-8,NA,NA,8,9,0,0,2,06/17/2013,11/27/2012,05/11/2015,05/11/2015,-8,1,-8,L,2015,2015,2012,1,NA,NA,NA,7-58-1200602-2012-08-17-1,7-58-1200602,270303,641,0.237,273205,ENVIRONMENTAL MATTERS,Judgement Issued,LOC,Unknown,BIZ,LOC
